Datetime,METAR
2025-12-07 15:00 UTC,METAR WSSS 071500Z 33006KT 290V360 9999 FEW018 BKN160 27/23 Q1012 NOSIG
2025-12-07 15:30 UTC,METAR WSSS 071530Z 34006KT 300V360 9999 FEW018 BKN160 27/23 Q1012 NOSIG
2025-12-07 16:00 UTC,METAR WSSS 071600Z 34007KT 300V010 9999 FEW018 BKN160 27/23 Q1011 NOSIG
2025-12-07 16:30 UTC,METAR WSSS 071630Z 33007KT 9999 FEW018 BKN160 27/23 Q1011 NOSIG
2025-12-07 17:00 UTC,METAR WSSS 071700Z 33006KT 300V360 9999 FEW018 BKN160 27/22 Q1011 NOSIG
2025-12-07 17:30 UTC,METAR WSSS 071730Z 34007KT 9999 FEW018 BKN160 27/23 Q1011 NOSIG
2025-12-07 18:00 UTC,METAR WSSS 071800Z 33008KT 9999 FEW018 BKN160 27/22 Q1011 NOSIG
2025-12-07 18:30 UTC,METAR WSSS 071830Z 33007KT 300V010 9999 FEW018 BKN160 26/22 Q1010 NOSIG
2025-12-07 19:00 UTC,METAR WSSS 071900Z 33005KT 300V360 9999 FEW018 BKN160 26/23 Q1010 NOSIG
2025-12-07 19:30 UTC,METAR WSSS 071930Z 33005KT 290V350 9999 FEW018 BKN160 26/22 Q1010 NOSIG
2025-12-07 20:00 UTC,METAR WSSS 072000Z 34006KT 9999 FEW018 SCT160 BKN300 26/22 Q1010 NOSIG
2025-12-07 20:30 UTC,METAR WSSS 072030Z 32005KT 9999 FEW018 SCT160 BKN300 26/22 Q1009 NOSIG
2025-12-07 21:00 UTC,METAR WSSS 072100Z 33004KT 300V360 9999 FEW018 SCT160 BKN300 26/23 Q1009 NOSIG
2025-12-07 21:30 UTC,METAR WSSS 072130Z 34005KT 9999 FEW018 SCT160 BKN300 26/23 Q1009 NOSIG
2025-12-07 22:00 UTC,METAR WSSS 072200Z 34006KT 9999 FEW018 SCT160 BKN300 26/23 Q1010 NOSIG
2025-12-07 22:30 UTC,METAR WSSS 072230Z 34004KT 310V010 9999 FEW018 BKN300 26/23 Q1010 NOSIG
2025-12-07 23:00 UTC,METAR WSSS 072300Z 33006KT 300V360 9999 FEW018 BKN300 26/23 Q1010 NOSIG
2025-12-07 23:30 UTC,METAR WSSS 072330Z 33005KT 310V010 9999 FEW018 BKN300 26/23 Q1010 NOSIG
2025-12-08 00:00 UTC,METAR WSSS 080000Z 33004KT 270V360 9999 FEW018 SCT270 BKN300 26/23 Q1011 NOSIG
2025-12-08 00:30 UTC,METAR WSSS 080030Z 33004KT 300V360 9999 FEW018 BKN270 27/23 Q1011 NOSIG
2025-12-08 01:00 UTC,METAR WSSS 080100Z 34007KT 9999 FEW018 SCT160 BKN270 27/23 Q1012 NOSIG
2025-12-08 01:30 UTC,METAR WSSS 080130Z 34007KT 9999 FEW018 SCT160 BKN270 28/23 Q1012 NOSIG
2025-12-08 02:00 UTC,METAR WSSS 080200Z 35009KT 320V020 9999 FEW018 BKN270 28/23 Q1012 NOSIG
2025-12-08 02:30 UTC,METAR WSSS 080230Z 35010KT 9999 FEW016 BKN270 28/23 Q1012 NOSIG
2025-12-08 03:00 UTC,METAR WSSS 080300Z 01011KT 9999 FEW016 BKN270 29/24 Q1012 NOSIG
2025-12-08 03:30 UTC,METAR WSSS 080330Z 36010KT 9999 FEW016 BKN270 29/23 Q1012 NOSIG
2025-12-08 04:00 UTC,METAR WSSS 080400Z 01013KT 9999 FEW016 SCT030 BKN270 29/23 Q1012 NOSIG
2025-12-08 04:30 UTC,METAR WSSS 080430Z 36013KT 9999 FEW016 FEW020TCU SCT030 30/24 Q1012 NOSIG
2025-12-08 05:00 UTC,METAR WSSS 080500Z 36014KT 9999 FEW016 FEW020TCU SCT030 29/22 Q1011 NOSIG
2025-12-08 05:30 UTC,METAR WSSS 080530Z 36014KT 9999 FEW016 FEW020TCU SCT030 29/23 Q1011 NOSIG
2025-12-08 06:00 UTC,METAR WSSS 080600Z 36015KT 9999 FEW016 SCT030 BKN270 29/23 Q1011 NOSIG
2025-12-08 06:30 UTC,METAR WSSS 080630Z 36016KT 9999 FEW016 FEW020TCU SCT150 BKN270 29/23 Q1010 NOSIG
2025-12-08 07:00 UTC,METAR WSSS 080700Z 36016KT 9999 FEW016 FEW020TCU SCT150 BKN280 29/23 Q1010 NOSIG
2025-12-08 07:30 UTC,METAR WSSS 080730Z 36017KT 9999 FEW018 FEW020TCU BKN280 29/23 Q1009 NOSIG
2025-12-08 08:00 UTC,METAR WSSS 080800Z 36016KT 9999 FEW018 SCT280 29/23 Q1009 NOSIG
2025-12-08 08:30 UTC,METAR WSSS 080830Z 36017KT 9999 FEW018 SCT280 BKN300 29/22 Q1009 NOSIG
2025-12-08 09:00 UTC,METAR WSSS 080900Z 35014KT 9999 FEW018 SCT280 28/22 Q1009 NOSIG
2025-12-08 09:30 UTC,METAR WSSS 080930Z 35011KT 9999 FEW018 SCT280 28/22 Q1009 NOSIG
2025-12-08 10:00 UTC,METAR WSSS 081000Z 36014KT 9999 FEW018 SCT280 28/22 Q1009 NOSIG
2025-12-08 10:30 UTC,METAR WSSS 081030Z 35009KT 9999 FEW018 SCT280 BKN300 28/22 Q1009 NOSIG
2025-12-08 11:00 UTC,METAR WSSS 081100Z 35007KT 9999 FEW018 SCT280 BKN300 27/22 Q1009 NOSIG
2025-12-08 11:30 UTC,METAR WSSS 081130Z 35008KT 9999 FEW018 BKN300 27/22 Q1010 NOSIG
2025-12-08 12:00 UTC,METAR WSSS 081200Z 35007KT 310V010 9999 FEW018 BKN300 27/22 Q1010 NOSIG
2025-12-08 12:30 UTC,METAR WSSS 081230Z 34006KT 9999 FEW018 BKN300 26/22 Q1010 NOSIG
2025-12-08 13:00 UTC,METAR WSSS 081300Z 34006KT 9999 FEW018 BKN300 27/23 Q1010 NOSIG
2025-12-08 13:30 UTC,METAR WSSS 081330Z 33004KT 9999 FEW018 BKN300 26/23 Q1011 NOSIG
2025-12-08 14:00 UTC,METAR WSSS 081400Z 33005KT 9999 FEW018 BKN300 26/23 Q1011 NOSIG
2025-12-08 14:48 UTC,METAR WSSS 081430Z 34005KT 9999 FEW018 BKN300 26/22 Q1011 NOSIG
2025-12-08 15:41 UTC,METAR WSSS 081530Z 33005KT 9999 FEW018 BKN300 26/22 Q1011 NOSIG
2025-12-08 16:55 UTC,METAR WSSS 081630Z 33004KT 9000 FEW018 BKN300 26/22 Q1011 NOSIG
2025-12-08 17:41 UTC,METAR WSSS 081730Z 34004KT 320V020 9999 FEW018 BKN300 25/22 Q1010 NOSIG
2025-12-08 18:54 UTC,METAR WSSS 081830Z 34004KT 9999 FEW018 BKN300 25/22 Q1010 NOSIG
2025-12-08 19:30 UTC,METAR WSSS 081900Z 34003KT 9999 FEW018 BKN300 24/22 Q1010 NOSIG
2025-12-08 19:44 UTC,METAR WSSS 081930Z 33005KT 9999 FEW018 BKN300 25/22 Q1009 NOSIG
2025-12-08 20:42 UTC,METAR WSSS 082030Z 32005KT 9999 FEW018 BKN300 26/23 Q1009 NOSIG
2025-12-08 21:29 UTC,METAR WSSS 082100Z 33005KT 9000 FEW018 BKN300 25/22 Q1009 NOSIG
2025-12-08 21:44 UTC,METAR WSSS 082130Z 33005KT 9000 FEW018 BKN300 26/22 Q1009 NOSIG
2025-12-08 22:40 UTC,METAR WSSS 082230Z 33004KT 9000 FEW018 BKN300 25/22 Q1010 NOSIG
2025-12-08 23:32 UTC,METAR WSSS 082330Z 34004KT 9000 FEW018 BKN300 25/23 Q1010 NOSIG
2025-12-09 00:00 UTC,METAR WSSS 090000Z 34005KT 9000 FEW018 BKN300 26/23 Q1010 NOSIG
2025-12-09 01:00 UTC,METAR WSSS 090030Z 33005KT 310V020 9999 FEW020 BKN300 27/23 Q1011 NOSIG
2025-12-09 01:15 UTC,METAR WSSS 090100Z 35006KT 9999 FEW020 BKN300 27/23 Q1011 NOSIG
2025-12-09 01:30 UTC,METAR WSSS 090130Z 35007KT 9999 FEW020 BKN300 28/23 Q1011 NOSIG
2025-12-09 02:00 UTC,METAR WSSS 090200Z 35008KT 320V020 9999 SCT018 BKN300 28/23 Q1011 NOSIG
2025-12-09 02:30 UTC,METAR WSSS 090230Z 36010KT 320V020 9999 SCT018 BKN300 29/23 Q1011 NOSIG
2025-12-09 03:28 UTC,METAR WSSS 090300Z 36011KT 330V030 9999 SCT018 BKN300 29/23 Q1011 NOSIG
2025-12-09 03:43 UTC,METAR WSSS 090330Z 01014KT 9999 SCT018 BKN300 29/23 Q1011 NOSIG
2025-12-09 04:00 UTC,METAR WSSS 090400Z 36014KT 9999 FEW018 BKN300 29/23 Q1011 NOSIG
2025-12-09 04:48 UTC,METAR WSSS 090430Z 01012KT 9999 FEW018 BKN300 29/23 Q1010 NOSIG
2025-12-09 05:00 UTC,METAR WSSS 090500Z 36012KT 330V040 9999 FEW018 SCT150 30/23 Q1010 NOSIG
2025-12-09 05:43 UTC,METAR WSSS 090530Z 36012KT 9999 FEW018 SCT280 30/24 Q1009 NOSIG
2025-12-09 06:58 UTC,METAR WSSS 090630Z 01014KT 9999 SCT018 FEW020TCU BKN300 30/24 Q1009 NOSIG
2025-12-09 07:41 UTC,METAR WSSS 090730Z 36014KT 9999 FEW018 SCT080 BKN300 30/23 Q1008 NOSIG
2025-12-09 08:57 UTC,METAR WSSS 090830Z 35011KT 9999 FEW018 SCT060 BKN300 29/22 Q1008 NOSIG
2025-12-09 09:46 UTC,METAR WSSS 090930Z 35011KT 9999 FEW018 SCT060 BKN300 29/23 Q1008 NOSIG
